
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, Ambralauri
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 816, -, 1.0, -, 9.6, 18.1, 0.0, "Georgia_ USSR", 1991, "Ambralauri", 6.2, Reverse, 63.53, 63.57, 399.61, 0.1625, 1.0, RSN816_GEORGIA_AMB--X.AT2, RSN816_GEORGIA_AMB--Y.AT2 , RSN816_GEORGIA_AMB--Z.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-816 RotD100 pSa (g)
0.01,0.017806,0.017806,0.017806,0.017806
0.02,0.01782231,0.01782231,0.01782231,0.01782231
0.022,0.01782913,0.01782913,0.01782913,0.01782913
0.025,0.01783094,0.01783094,0.01783094,0.01783094
0.029,0.01784472,0.01784472,0.01784472,0.01784472
0.03,0.01784558,0.01784558,0.01784558,0.01784558
0.032,0.01787562,0.01787562,0.01787562,0.01787562
0.035,0.01796835,0.01796835,0.01796835,0.01796835
0.036,0.01799028,0.01799028,0.01799028,0.01799028
0.04,0.01805352,0.01805352,0.01805352,0.01805352
0.042,0.01823116,0.01823116,0.01823116,0.01823116
0.044,0.01828027,0.01828027,0.01828027,0.01828027
0.045,0.01831818,0.01831818,0.01831818,0.01831818
0.046,0.01836654,0.01836654,0.01836654,0.01836654
0.048,0.01839143,0.01839143,0.01839143,0.01839143
0.05,0.01830055,0.01830055,0.01830055,0.01830055
0.055,0.01882489,0.01882489,0.01882489,0.01882489
0.06,0.01942181,0.01942181,0.01942181,0.01942181
0.065,0.01931272,0.01931272,0.01931272,0.01931272
0.067,0.01921416,0.01921416,0.01921416,0.01921416
0.07,0.01959719,0.01959719,0.01959719,0.01959719
0.075,0.02076788,0.02076788,0.02076788,0.02076788
0.08,0.02127835,0.02127835,0.02127835,0.02127835
0.085,0.0211892,0.0211892,0.0211892,0.0211892
0.09,0.02163664,0.02163664,0.02163664,0.02163664
0.095,0.02115282,0.02115282,0.02115282,0.02115282
0.1,0.02055329,0.02055329,0.02055329,0.02055329
0.11,0.02198127,0.02198127,0.02198127,0.02198127
0.12,0.02245304,0.02245304,0.02245304,0.02245304
0.13,0.02450767,0.02450767,0.02450767,0.02450767
0.133,0.02476437,0.02476437,0.02476437,0.02476437
0.14,0.02705303,0.02705303,0.02705303,0.02705303
0.15,0.03096946,0.03096946,0.03096946,0.03096946
0.16,0.03470421,0.03470421,0.03470421,0.03470421
0.17,0.03779257,0.03779257,0.03779257,0.03779257
0.18,0.03550096,0.03550096,0.03550096,0.03550096
0.19,0.03182625,0.03182625,0.03182625,0.03182625
0.2,0.03839902,0.03839902,0.03839902,0.03839902
0.22,0.05263313,0.05263313,0.05263313,0.05263313
0.24,0.05658993,0.05658993,0.05658993,0.05658993
0.25,0.04896235,0.04896235,0.04896235,0.04896235
0.26,0.0531051,0.0531051,0.0531051,0.0531051
0.28,0.04993612,0.04993612,0.04993612,0.04993612
0.29,0.0515008,0.0515008,0.0515008,0.0515008
0.3,0.05158966,0.05158966,0.05158966,0.05158966
0.32,0.05404047,0.05404047,0.05404047,0.05404047
0.34,0.05146524,0.05146524,0.05146524,0.05146524
0.35,0.05269488,0.05269488,0.05269488,0.05269488
0.36,0.04763131,0.04763131,0.04763131,0.04763131
0.38,0.05322935,0.05322935,0.05322935,0.05322935
0.4,0.07124528,0.07124528,0.07124528,0.07124528
0.42,0.07026609,0.07026609,0.07026609,0.07026609
0.44,0.06349811,0.06349811,0.06349811,0.06349811
0.45,0.06212815,0.06212815,0.06212815,0.06212815
0.46,0.06295935,0.06295935,0.06295935,0.06295935
0.48,0.06582573,0.06582573,0.06582573,0.06582573
0.5,0.06088629,0.06088629,0.06088629,0.06088629
0.55,0.0440498,0.0440498,0.0440498,0.0440498
0.6,0.0320959,0.0320959,0.0320959,0.0320959
0.65,0.03054209,0.03054209,0.03054209,0.03054209
0.667,0.03207571,0.03207571,0.03207571,0.03207571
0.7,0.04086876,0.04086876,0.04086876,0.04086876
0.75,0.04618771,0.04618771,0.04618771,0.04618771
0.8,0.04119529,0.04119529,0.04119529,0.04119529
0.85,0.0346341,0.0346341,0.0346341,0.0346341
0.9,0.03487761,0.03487761,0.03487761,0.03487761
0.95,0.03697203,0.03697203,0.03697203,0.03697203
1.0,0.03438421,0.03438421,0.03438421,0.03438421
1.1,0.02417189,0.02417189,0.02417189,0.02417189
1.2,0.01837345,0.01837345,0.01837345,0.01837345
1.3,0.02051341,0.02051341,0.02051341,0.02051341
1.4,0.022835,0.022835,0.022835,0.022835
1.5,0.01762402,0.01762402,0.01762402,0.01762402
