
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-31


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, Compuertas
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 167, -, 1.0, -, 13.4, 28.7, 0.4, "Imperial Valley-06", 1979, "Compuertas", 6.53, strike slip, 13.52, 15.3, 259.86, 0.15, 1.0, RSN167_IMPVALL.H_H-CMP015.AT2, RSN167_IMPVALL.H_H-CMP285.AT2 , RSN167_IMPVALL.H_H-CMPDWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-167 SRSS pSa (g)
0.01,0.2431216,0.2431216,0.2431216,0.2431216
0.02,0.23875466,0.23875466,0.23875466,0.23875466
0.022,0.23922155,0.23922155,0.23922155,0.23922155
0.025,0.2396928,0.2396928,0.2396928,0.2396928
0.029,0.24181332,0.24181332,0.24181332,0.24181332
0.03,0.24241357,0.24241357,0.24241357,0.24241357
0.032,0.24286626,0.24286626,0.24286626,0.24286626
0.035,0.24172987,0.24172987,0.24172987,0.24172987
0.036,0.24314145,0.24314145,0.24314145,0.24314145
0.04,0.24643447,0.24643447,0.24643447,0.24643447
0.042,0.24595194,0.24595194,0.24595194,0.24595194
0.044,0.24666251,0.24666251,0.24666251,0.24666251
0.045,0.24806113,0.24806113,0.24806113,0.24806113
0.046,0.25047774,0.25047774,0.25047774,0.25047774
0.048,0.26308752,0.26308752,0.26308752,0.26308752
0.05,0.26843473,0.26843473,0.26843473,0.26843473
0.055,0.30010771,0.30010771,0.30010771,0.30010771
0.06,0.32878671,0.32878671,0.32878671,0.32878671
0.065,0.40111339,0.40111339,0.40111339,0.40111339
0.067,0.40564054,0.40564054,0.40564054,0.40564054
0.07,0.43253405,0.43253405,0.43253405,0.43253405
0.075,0.445518,0.445518,0.445518,0.445518
0.08,0.52126512,0.52126512,0.52126512,0.52126512
0.085,0.52755415,0.52755415,0.52755415,0.52755415
0.09,0.55553388,0.55553388,0.55553388,0.55553388
0.095,0.60578056,0.60578056,0.60578056,0.60578056
0.1,0.63923227,0.63923227,0.63923227,0.63923227
0.11,0.5503439,0.5503439,0.5503439,0.5503439
0.12,0.52377942,0.52377942,0.52377942,0.52377942
0.13,0.50659161,0.50659161,0.50659161,0.50659161
0.133,0.53430409,0.53430409,0.53430409,0.53430409
0.14,0.46236725,0.46236725,0.46236725,0.46236725
0.15,0.47230978,0.47230978,0.47230978,0.47230978
0.16,0.50021363,0.50021363,0.50021363,0.50021363
0.17,0.51800828,0.51800828,0.51800828,0.51800828
0.18,0.48852188,0.48852188,0.48852188,0.48852188
0.19,0.48323623,0.48323623,0.48323623,0.48323623
0.2,0.49160988,0.49160988,0.49160988,0.49160988
0.22,0.52088302,0.52088302,0.52088302,0.52088302
