
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-31


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, Napoli Ovest
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 4490, -, 1.0, -, 52.1, 72.5, 0.0, "L'Aquila_ Italy", 2009, "Napoli Ovest", 6.3, Normal, 171.07, 171.54, 387.05, 0.0375, 1.0, RSN4490_L-AQUILA_BM444XTE.AT2, RSN4490_L-AQUILA_BM444YLN.AT2 , RSN4490_L-AQUILA_BM444ZUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-4490 SRSS pSa (g)
0.01,0.00364779,0.00364779,0.00364779,0.00364779
0.02,0.00364889,0.00364889,0.00364889,0.00364889
0.022,0.00364928,0.00364928,0.00364928,0.00364928
0.025,0.00364985,0.00364985,0.00364985,0.00364985
0.029,0.0036506,0.0036506,0.0036506,0.0036506
0.03,0.00365065,0.00365065,0.00365065,0.00365065
0.032,0.00365095,0.00365095,0.00365095,0.00365095
0.035,0.00365203,0.00365203,0.00365203,0.00365203
0.036,0.00365224,0.00365224,0.00365224,0.00365224
0.04,0.00365254,0.00365254,0.00365254,0.00365254
0.042,0.0036527,0.0036527,0.0036527,0.0036527
0.044,0.00365313,0.00365313,0.00365313,0.00365313
0.045,0.00365344,0.00365344,0.00365344,0.00365344
0.046,0.00365407,0.00365407,0.00365407,0.00365407
0.048,0.00365525,0.00365525,0.00365525,0.00365525
0.05,0.00365634,0.00365634,0.00365634,0.00365634
0.055,0.00365908,0.00365908,0.00365908,0.00365908
0.06,0.00366348,0.00366348,0.00366348,0.00366348
0.065,0.00366468,0.00366468,0.00366468,0.00366468
0.067,0.00366393,0.00366393,0.00366393,0.00366393
0.07,0.00366269,0.00366269,0.00366269,0.00366269
0.075,0.00366394,0.00366394,0.00366394,0.00366394
0.08,0.00366756,0.00366756,0.00366756,0.00366756
0.085,0.00367314,0.00367314,0.00367314,0.00367314
0.09,0.00368504,0.00368504,0.00368504,0.00368504
0.095,0.00368961,0.00368961,0.00368961,0.00368961
0.1,0.00369154,0.00369154,0.00369154,0.00369154
0.11,0.00373696,0.00373696,0.00373696,0.00373696
0.12,0.00376704,0.00376704,0.00376704,0.00376704
0.13,0.00379156,0.00379156,0.00379156,0.00379156
0.133,0.00380072,0.00380072,0.00380072,0.00380072
0.14,0.00383589,0.00383589,0.00383589,0.00383589
0.15,0.00393291,0.00393291,0.00393291,0.00393291
0.16,0.00401891,0.00401891,0.00401891,0.00401891
0.17,0.0040355,0.0040355,0.0040355,0.0040355
0.18,0.00409167,0.00409167,0.00409167,0.00409167
0.19,0.0042422,0.0042422,0.0042422,0.0042422
0.2,0.00428138,0.00428138,0.00428138,0.00428138
0.22,0.00430943,0.00430943,0.00430943,0.00430943
