
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-31


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, barcis
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 121, -, 1.0, -, 4.3, 10.4, 0.0, "Friuli_ Italy-01", 1976, "Barcis", 6.5, Reverse, 49.13, 49.38, 496.46, 0.15, 1.0, RSN121_FRIULI.A_A-BCS000.AT2, RSN121_FRIULI.A_A-BCS270.AT2 , RSN121_FRIULI.A_A-BCS-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-121 SRSS pSa (g)
0.01,0.04204281,0.04204281,0.04204281,0.04204281
0.02,0.04354056,0.04354056,0.04354056,0.04354056
0.022,0.04582501,0.04582501,0.04582501,0.04582501
0.025,0.04867976,0.04867976,0.04867976,0.04867976
0.029,0.05191261,0.05191261,0.05191261,0.05191261
0.03,0.05386982,0.05386982,0.05386982,0.05386982
0.032,0.05160337,0.05160337,0.05160337,0.05160337
0.035,0.0518088,0.0518088,0.0518088,0.0518088
0.036,0.05721084,0.05721084,0.05721084,0.05721084
0.04,0.06502322,0.06502322,0.06502322,0.06502322
0.042,0.06499148,0.06499148,0.06499148,0.06499148
0.044,0.07023974,0.07023974,0.07023974,0.07023974
0.045,0.07156827,0.07156827,0.07156827,0.07156827
0.046,0.07253316,0.07253316,0.07253316,0.07253316
0.048,0.07193355,0.07193355,0.07193355,0.07193355
0.05,0.07521844,0.07521844,0.07521844,0.07521844
0.055,0.08517015,0.08517015,0.08517015,0.08517015
0.06,0.09464882,0.09464882,0.09464882,0.09464882
0.065,0.09672954,0.09672954,0.09672954,0.09672954
0.067,0.09992017,0.09992017,0.09992017,0.09992017
0.07,0.0996071,0.0996071,0.0996071,0.0996071
0.075,0.13333116,0.13333116,0.13333116,0.13333116
0.08,0.12575007,0.12575007,0.12575007,0.12575007
0.085,0.11481562,0.11481562,0.11481562,0.11481562
0.09,0.09957594,0.09957594,0.09957594,0.09957594
0.095,0.09242694,0.09242694,0.09242694,0.09242694
0.1,0.09467638,0.09467638,0.09467638,0.09467638
0.11,0.11042278,0.11042278,0.11042278,0.11042278
0.12,0.13127453,0.13127453,0.13127453,0.13127453
0.13,0.12014999,0.12014999,0.12014999,0.12014999
0.133,0.11721379,0.11721379,0.11721379,0.11721379
0.14,0.13257049,0.13257049,0.13257049,0.13257049
0.15,0.13905074,0.13905074,0.13905074,0.13905074
0.16,0.13827835,0.13827835,0.13827835,0.13827835
0.17,0.11590946,0.11590946,0.11590946,0.11590946
0.18,0.10811666,0.10811666,0.10811666,0.10811666
0.19,0.10824769,0.10824769,0.10824769,0.10824769
0.2,0.10819981,0.10819981,0.10819981,0.10819981
0.22,0.09246167,0.09246167,0.09246167,0.09246167
