
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-03-22


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 143
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 143, -, 1.0, 6.188, 8.3, 16.5, 11.8, "Tabas_ Iran", 1978, "Tabas", 7.35, Reverse, 1.79, 2.05, 766.77, 0.125, 1.0, RSN143_TABAS_TAB-L1.AT2, RSN143_TABAS_TAB-T1.AT2 , RSN143_TABAS_TAB-V1.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-143 RotD50 pSa (g)
0.01,0.8294505,0.8294505,0.8294505,0.8294505
0.02,0.8355373,0.8355373,0.8355373,0.8355373
0.022,0.8909546,0.8909546,0.8909546,0.8909546
0.025,0.9361691,0.9361691,0.9361691,0.9361691
0.029,0.8615403,0.8615403,0.8615403,0.8615403
0.03,0.8586538,0.8586538,0.8586538,0.8586538
0.032,0.8482966,0.8482966,0.8482966,0.8482966
0.035,0.8521476,0.8521476,0.8521476,0.8521476
0.036,0.8556297,0.8556297,0.8556297,0.8556297
0.04,0.8668821,0.8668821,0.8668821,0.8668821
0.042,0.8672892,0.8672892,0.8672892,0.8672892
0.044,0.865347,0.865347,0.865347,0.865347
0.045,0.8618845,0.8618845,0.8618845,0.8618845
0.046,0.8650834,0.8650834,0.8650834,0.8650834
0.048,0.874485,0.874485,0.874485,0.874485
0.05,0.8781188,0.8781188,0.8781188,0.8781188
0.055,0.9414389,0.9414389,0.9414389,0.9414389
0.06,1.014827,1.014827,1.014827,1.014827
0.065,1.046759,1.046759,1.046759,1.046759
0.067,1.071348,1.071348,1.071348,1.071348
0.07,1.215662,1.215662,1.215662,1.215662
0.075,1.453984,1.453984,1.453984,1.453984
0.08,1.659778,1.659778,1.659778,1.659778
0.085,1.825547,1.825547,1.825547,1.825547
0.09,1.641164,1.641164,1.641164,1.641164
0.095,1.661058,1.661058,1.661058,1.661058
0.1,1.825221,1.825221,1.825221,1.825221
0.11,2.008179,2.008179,2.008179,2.008179
0.12,2.147144,2.147144,2.147144,2.147144
0.13,2.532039,2.532039,2.532039,2.532039
0.133,2.585641,2.585641,2.585641,2.585641
0.14,2.600737,2.600737,2.600737,2.600737
0.15,2.785055,2.785055,2.785055,2.785055
0.16,2.668408,2.668408,2.668408,2.668408
0.17,2.672808,2.672808,2.672808,2.672808
0.18,3.052341,3.052341,3.052341,3.052341
0.19,2.968499,2.968499,2.968499,2.968499
0.2,2.747783,2.747783,2.747783,2.747783
0.22,2.79191,2.79191,2.79191,2.79191
0.24,3.371633,3.371633,3.371633,3.371633
0.25,3.241823,3.241823,3.241823,3.241823
0.26,2.702343,2.702343,2.702343,2.702343
