
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, wbs
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 824, -, 1.0, -, 7.1, 13.9, 0.0, "Roermond_ Netherlands", 1992, "WBS", 5.3, Normal, 100.81, 101.3, 525.95, 0.1625, 1.0, RSN824_ROERMOND_WBS-NS.AT2, RSN824_ROERMOND_WBS-EW.AT2 , RSN824_ROERMOND_WBS-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-824 SRSS pSa (g)
0.01,0.00922386,0.00922386,0.00922386,0.00922386
0.02,0.00928583,0.00928583,0.00928583,0.00928583
0.022,0.00930775,0.00930775,0.00930775,0.00930775
0.025,0.00933566,0.00933566,0.00933566,0.00933566
0.029,0.00935237,0.00935237,0.00935237,0.00935237
0.03,0.00935536,0.00935536,0.00935536,0.00935536
0.032,0.00935973,0.00935973,0.00935973,0.00935973
0.035,0.00941121,0.00941121,0.00941121,0.00941121
0.036,0.00943877,0.00943877,0.00943877,0.00943877
0.04,0.00959135,0.00959135,0.00959135,0.00959135
0.042,0.0096865,0.0096865,0.0096865,0.0096865
0.044,0.00970959,0.00970959,0.00970959,0.00970959
0.045,0.00971007,0.00971007,0.00971007,0.00971007
0.046,0.00972528,0.00972528,0.00972528,0.00972528
0.048,0.00976503,0.00976503,0.00976503,0.00976503
0.05,0.00978452,0.00978452,0.00978452,0.00978452
0.055,0.01000184,0.01000184,0.01000184,0.01000184
0.06,0.01008126,0.01008126,0.01008126,0.01008126
0.065,0.01032459,0.01032459,0.01032459,0.01032459
0.067,0.0104432,0.0104432,0.0104432,0.0104432
0.07,0.0104879,0.0104879,0.0104879,0.0104879
0.075,0.01080768,0.01080768,0.01080768,0.01080768
0.08,0.01133364,0.01133364,0.01133364,0.01133364
0.085,0.01204569,0.01204569,0.01204569,0.01204569
0.09,0.01246692,0.01246692,0.01246692,0.01246692
0.095,0.01338613,0.01338613,0.01338613,0.01338613
0.1,0.01366717,0.01366717,0.01366717,0.01366717
0.11,0.01539584,0.01539584,0.01539584,0.01539584
0.12,0.01792791,0.01792791,0.01792791,0.01792791
0.13,0.02312112,0.02312112,0.02312112,0.02312112
0.133,0.02483299,0.02483299,0.02483299,0.02483299
0.14,0.02662774,0.02662774,0.02662774,0.02662774
0.15,0.0272269,0.0272269,0.0272269,0.0272269
0.16,0.02577901,0.02577901,0.02577901,0.02577901
0.17,0.02290558,0.02290558,0.02290558,0.02290558
0.18,0.01922698,0.01922698,0.01922698,0.01922698
0.19,0.01789856,0.01789856,0.01789856,0.01789856
0.2,0.01674742,0.01674742,0.01674742,0.01674742
