
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 95
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 95, -, 1.0, -, 4.9, 10.6, 2.0, "Managua_ Nicaragua-01", 1972, "Managua_ ESSO", 6.24, strike slip, 3.51, 4.06, 288.77, 0.375, 1.0, RSN95_MANAGUA_A-ESO090.AT2, RSN95_MANAGUA_A-ESO180.AT2 , RSN95_MANAGUA_A-ESODWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-95 RotD100 pSa (g)
0.01,0.4332593,0.4332593,0.4332593,0.4332593
0.02,0.437707,0.437707,0.437707,0.437707
0.022,0.4494614,0.4494614,0.4494614,0.4494614
0.025,0.4676478,0.4676478,0.4676478,0.4676478
0.029,0.4613687,0.4613687,0.4613687,0.4613687
0.03,0.4564211,0.4564211,0.4564211,0.4564211
0.032,0.4450717,0.4450717,0.4450717,0.4450717
0.035,0.4718692,0.4718692,0.4718692,0.4718692
0.036,0.4804026,0.4804026,0.4804026,0.4804026
0.04,0.5015936,0.5015936,0.5015936,0.5015936
0.042,0.4984502,0.4984502,0.4984502,0.4984502
0.044,0.5141586,0.5141586,0.5141586,0.5141586
0.045,0.5321954,0.5321954,0.5321954,0.5321954
0.046,0.5442185,0.5442185,0.5442185,0.5442185
0.048,0.5575278,0.5575278,0.5575278,0.5575278
0.05,0.5639337,0.5639337,0.5639337,0.5639337
0.055,0.5836882,0.5836882,0.5836882,0.5836882
0.06,0.5620525,0.5620525,0.5620525,0.5620525
0.065,0.5642228,0.5642228,0.5642228,0.5642228
0.067,0.5512207,0.5512207,0.5512207,0.5512207
0.07,0.531999,0.531999,0.531999,0.531999
0.075,0.5804764,0.5804764,0.5804764,0.5804764
0.08,0.6547441,0.6547441,0.6547441,0.6547441
0.085,0.7063162,0.7063162,0.7063162,0.7063162
0.09,0.6726305,0.6726305,0.6726305,0.6726305
0.095,0.7341756,0.7341756,0.7341756,0.7341756
0.1,0.8069049,0.8069049,0.8069049,0.8069049
0.11,0.7012073,0.7012073,0.7012073,0.7012073
0.12,0.7998233,0.7998233,0.7998233,0.7998233
0.13,0.8382803,0.8382803,0.8382803,0.8382803
0.133,0.8816935,0.8816935,0.8816935,0.8816935
0.14,0.9793934,0.9793934,0.9793934,0.9793934
0.15,0.999753,0.999753,0.999753,0.999753
0.16,1.080225,1.080225,1.080225,1.080225
0.17,1.008157,1.008157,1.008157,1.008157
0.18,0.9428433,0.9428433,0.9428433,0.9428433
0.19,1.06293,1.06293,1.06293,1.06293
0.2,1.111581,1.111581,1.111581,1.111581
0.22,1.115019,1.115019,1.115019,1.115019
0.24,1.18185,1.18185,1.18185,1.18185
0.25,1.294761,1.294761,1.294761,1.294761
0.26,1.362364,1.362364,1.362364,1.362364
0.28,1.470854,1.470854,1.470854,1.470854
0.29,1.465554,1.465554,1.465554,1.465554
0.3,1.401473,1.401473,1.401473,1.401473
0.32,1.401445,1.401445,1.401445,1.401445
0.34,1.474453,1.474453,1.474453,1.474453
0.35,1.516842,1.516842,1.516842,1.516842
0.36,1.517523,1.517523,1.517523,1.517523
0.38,1.561567,1.561567,1.561567,1.561567
0.4,1.436209,1.436209,1.436209,1.436209
0.42,1.500601,1.500601,1.500601,1.500601
0.44,1.337,1.337,1.337,1.337
