
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 46
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 46, -, 1.0, -, 5.2, 12.8, 0.0, "Lytle Creek", 1970, "LA - Hollywood Stor FF", 5.33, Reverse Oblique, 73.46, 73.67, 316.46, 0.375, 1.0, RSN46_LYTLECR_PEL090.AT2, RSN46_LYTLECR_PEL180.AT2 , RSN46_LYTLECR_PEL-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-46 RotD100 pSa (g)
0.01,0.01983424,0.01983424,0.01983424,0.01983424
0.02,0.02012458,0.02012458,0.02012458,0.02012458
0.022,0.02019179,0.02019179,0.02019179,0.02019179
0.025,0.0201112,0.0201112,0.0201112,0.0201112
0.029,0.01998239,0.01998239,0.01998239,0.01998239
0.03,0.01991424,0.01991424,0.01991424,0.01991424
0.032,0.02025514,0.02025514,0.02025514,0.02025514
0.035,0.02059271,0.02059271,0.02059271,0.02059271
0.036,0.0204427,0.0204427,0.0204427,0.0204427
0.04,0.02195778,0.02195778,0.02195778,0.02195778
0.042,0.02170368,0.02170368,0.02170368,0.02170368
0.044,0.02279684,0.02279684,0.02279684,0.02279684
0.045,0.0226807,0.0226807,0.0226807,0.0226807
0.046,0.02238859,0.02238859,0.02238859,0.02238859
0.048,0.02323254,0.02323254,0.02323254,0.02323254
0.05,0.02394877,0.02394877,0.02394877,0.02394877
0.055,0.02528465,0.02528465,0.02528465,0.02528465
0.06,0.02801919,0.02801919,0.02801919,0.02801919
0.065,0.03141639,0.03141639,0.03141639,0.03141639
0.067,0.0315428,0.0315428,0.0315428,0.0315428
0.07,0.03456609,0.03456609,0.03456609,0.03456609
0.075,0.04266071,0.04266071,0.04266071,0.04266071
0.08,0.04857354,0.04857354,0.04857354,0.04857354
0.085,0.05215999,0.05215999,0.05215999,0.05215999
0.09,0.05219638,0.05219638,0.05219638,0.05219638
0.095,0.05182321,0.05182321,0.05182321,0.05182321
0.1,0.05052636,0.05052636,0.05052636,0.05052636
0.11,0.05462758,0.05462758,0.05462758,0.05462758
0.12,0.05052328,0.05052328,0.05052328,0.05052328
0.13,0.04546803,0.04546803,0.04546803,0.04546803
0.133,0.04737297,0.04737297,0.04737297,0.04737297
0.14,0.05205594,0.05205594,0.05205594,0.05205594
0.15,0.06054107,0.06054107,0.06054107,0.06054107
0.16,0.06388146,0.06388146,0.06388146,0.06388146
0.17,0.05763977,0.05763977,0.05763977,0.05763977
0.18,0.04903544,0.04903544,0.04903544,0.04903544
0.19,0.0543161,0.0543161,0.0543161,0.0543161
0.2,0.05650787,0.05650787,0.05650787,0.05650787
0.22,0.05295901,0.05295901,0.05295901,0.05295901
