
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 2790
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 2790, -, 1.0, -, 10.9, 20.0, 0.0, "Chi-Chi_ Taiwan-04", 1999, "HWA044", 6.2, strike slip, 67.93, 68.24, 534.41, 0.06, 1.0, RSN2790_CHICHI.04_HWA044N.AT2, RSN2790_CHICHI.04_HWA044E.AT2 , RSN2790_CHICHI.04_HWA044V.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-2790 RotD100 pSa (g)
0.01,0.01281165,0.01281165,0.01281165,0.01281165
0.02,0.01288378,0.01288378,0.01288378,0.01288378
0.022,0.01289628,0.01289628,0.01289628,0.01289628
0.025,0.01292422,0.01292422,0.01292422,0.01292422
0.029,0.01299263,0.01299263,0.01299263,0.01299263
0.03,0.01300308,0.01300308,0.01300308,0.01300308
0.032,0.01303254,0.01303254,0.01303254,0.01303254
0.035,0.01311668,0.01311668,0.01311668,0.01311668
0.036,0.01311248,0.01311248,0.01311248,0.01311248
0.04,0.01302863,0.01302863,0.01302863,0.01302863
0.042,0.01311738,0.01311738,0.01311738,0.01311738
0.044,0.01317481,0.01317481,0.01317481,0.01317481
0.045,0.01325186,0.01325186,0.01325186,0.01325186
0.046,0.01335567,0.01335567,0.01335567,0.01335567
0.048,0.01350058,0.01350058,0.01350058,0.01350058
0.05,0.01340769,0.01340769,0.01340769,0.01340769
0.055,0.0134015,0.0134015,0.0134015,0.0134015
0.06,0.01337611,0.01337611,0.01337611,0.01337611
0.065,0.01461066,0.01461066,0.01461066,0.01461066
0.067,0.01432903,0.01432903,0.01432903,0.01432903
0.07,0.01441556,0.01441556,0.01441556,0.01441556
0.075,0.01413853,0.01413853,0.01413853,0.01413853
0.08,0.01379817,0.01379817,0.01379817,0.01379817
0.085,0.01559498,0.01559498,0.01559498,0.01559498
0.09,0.01685427,0.01685427,0.01685427,0.01685427
0.095,0.01854573,0.01854573,0.01854573,0.01854573
0.1,0.01878452,0.01878452,0.01878452,0.01878452
0.11,0.02067338,0.02067338,0.02067338,0.02067338
0.12,0.02494051,0.02494051,0.02494051,0.02494051
0.13,0.02761428,0.02761428,0.02761428,0.02761428
0.133,0.02884593,0.02884593,0.02884593,0.02884593
0.14,0.02617148,0.02617148,0.02617148,0.02617148
0.15,0.03355366,0.03355366,0.03355366,0.03355366
0.16,0.03282568,0.03282568,0.03282568,0.03282568
0.17,0.03982722,0.03982722,0.03982722,0.03982722
0.18,0.04621137,0.04621137,0.04621137,0.04621137
0.19,0.04733606,0.04733606,0.04733606,0.04733606
0.2,0.04385808,0.04385808,0.04385808,0.04385808
0.22,0.05970668,0.05970668,0.05970668,0.05970668
0.24,0.0506233,0.0506233,0.0506233,0.0506233
0.25,0.05741048,0.05741048,0.05741048,0.05741048
0.26,0.05769484,0.05769484,0.05769484,0.05769484
0.28,0.04845517,0.04845517,0.04845517,0.04845517
0.29,0.04409898,0.04409898,0.04409898,0.04409898
0.3,0.04107118,0.04107118,0.04107118,0.04107118
0.32,0.0304911,0.0304911,0.0304911,0.0304911
0.34,0.02440023,0.02440023,0.02440023,0.02440023
0.35,0.02413677,0.02413677,0.02413677,0.02413677
0.36,0.02599523,0.02599523,0.02599523,0.02599523
0.38,0.02724513,0.02724513,0.02724513,0.02724513
0.4,0.03177247,0.03177247,0.03177247,0.03177247
0.42,0.02770202,0.02770202,0.02770202,0.02770202
0.44,0.0231317,0.0231317,0.0231317,0.0231317
0.45,0.02382045,0.02382045,0.02382045,0.02382045
0.46,0.02434016,0.02434016,0.02434016,0.02434016
0.48,0.02601439,0.02601439,0.02601439,0.02601439
0.5,0.02635618,0.02635618,0.02635618,0.02635618
0.55,0.03285896,0.03285896,0.03285896,0.03285896
0.6,0.02499319,0.02499319,0.02499319,0.02499319
0.65,0.0271465,0.0271465,0.0271465,0.0271465
0.667,0.02628485,0.02628485,0.02628485,0.02628485
0.7,0.01957262,0.01957262,0.01957262,0.01957262
0.75,0.01375081,0.01375081,0.01375081,0.01375081
0.8,0.01379666,0.01379666,0.01379666,0.01379666
0.85,0.01513314,0.01513314,0.01513314,0.01513314
0.9,0.01406746,0.01406746,0.01406746,0.01406746
0.95,0.01408761,0.01408761,0.01408761,0.01408761
1.0,0.01192427,0.01192427,0.01192427,0.01192427
1.1,0.00978286,0.00978286,0.00978286,0.00978286
1.2,0.00835667,0.00835667,0.00835667,0.00835667
1.3,0.00814534,0.00814534,0.00814534,0.00814534
1.4,0.00850645,0.00850645,0.00850645,0.00850645
1.5,0.01071021,0.01071021,0.01071021,0.01071021
1.6,0.0109977,0.0109977,0.0109977,0.0109977
1.7,0.00952046,0.00952046,0.00952046,0.00952046
1.8,0.00765515,0.00765515,0.00765515,0.00765515
1.9,0.00632287,0.00632287,0.00632287,0.00632287
2.0,0.00572385,0.00572385,0.00572385,0.00572385
2.2,0.00582512,0.00582512,0.00582512,0.00582512
2.4,0.00582524,0.00582524,0.00582524,0.00582524
2.5,0.00537814,0.00537814,0.00537814,0.00537814
2.6,0.00488096,0.00488096,0.00488096,0.00488096
2.8,0.0047658,0.0047658,0.0047658,0.0047658
3.0,0.00446645,0.00446645,0.00446645,0.00446645
3.2,0.00461935,0.00461935,0.00461935,0.00461935
3.4,0.00473585,0.00473585,0.00473585,0.00473585
3.5,0.00492282,0.00492282,0.00492282,0.00492282
3.6,0.00509445,0.00509445,0.00509445,0.00509445
3.8,0.00539536,0.00539536,0.00539536,0.00539536
4.0,0.00564462,0.00564462,0.00564462,0.00564462
4.2,0.00619731,0.00619731,0.00619731,0.00619731
4.4,0.00702086,0.00702086,0.00702086,0.00702086
4.6,0.00764103,0.00764103,0.00764103,0.00764103
4.8,0.00811037,0.00811037,0.00811037,0.00811037
5.0,0.00838509,0.00838509,0.00838509,0.00838509
5.5,0.00853925,0.00853925,0.00853925,0.00853925
6.0,0.00813544,0.00813544,0.00813544,0.00813544
6.5,0.00733968,0.00733968,0.00733968,0.00733968
7.0,0.00627414,0.00627414,0.00627414,0.00627414
7.5,0.0055646,0.0055646,0.0055646,0.0055646
8.0,0.00515934,0.00515934,0.00515934,0.00515934
8.5,0.00472222,0.00472222,0.00472222,0.00472222
9.0,0.00429427,0.00429427,0.00429427,0.00429427
9.5,0.00385477,0.00385477,0.00385477,0.00385477
10.0,0.00338787,0.00338787,0.00338787,0.00338787
11.0,0.00249268,0.00249268,0.00249268,0.00249268
12.0,0.00204649,0.00204649,0.00204649,0.00204649
13.0,0.00174739,0.00174739,0.00174739,0.00174739
14.0,0.00147651,0.00147651,0.00147651,0.00147651
15.0,0.00124515,0.00124515,0.00124515,0.00124515
20.0,0.00052969,0.00052969,0.00052969,0.00052969

