
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 4323
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 4323, -, 1.0, -, 0.4, 1.0, 0.0, "Lazio Abruzzo (aftershock 2)_ Italy", 1984, "Villetta Barrea", 4.8, Normal, 7.34, 11.65, 519.0, 0.75, 1.0, RSN4323_ABRUZZO.P_D-VLB000.AT2, RSN4323_ABRUZZO.P_D-VLB090.AT2 , RSN4323_ABRUZZO.P_D-VLB-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-4323 RotD100 pSa (g)
0.01,0.1538091,0.1538091,0.1538091,0.1538091
0.02,0.1602648,0.1602648,0.1602648,0.1602648
0.022,0.1641122,0.1641122,0.1641122,0.1641122
0.025,0.1936505,0.1936505,0.1936505,0.1936505
0.029,0.191184,0.191184,0.191184,0.191184
0.03,0.1810173,0.1810173,0.1810173,0.1810173
0.032,0.1666204,0.1666204,0.1666204,0.1666204
0.035,0.1855212,0.1855212,0.1855212,0.1855212
0.036,0.1930303,0.1930303,0.1930303,0.1930303
0.04,0.2064481,0.2064481,0.2064481,0.2064481
0.042,0.2002969,0.2002969,0.2002969,0.2002969
0.044,0.1840984,0.1840984,0.1840984,0.1840984
0.045,0.1805675,0.1805675,0.1805675,0.1805675
0.046,0.1814228,0.1814228,0.1814228,0.1814228
0.048,0.1962391,0.1962391,0.1962391,0.1962391
0.05,0.2026036,0.2026036,0.2026036,0.2026036
0.055,0.2297031,0.2297031,0.2297031,0.2297031
0.06,0.2735331,0.2735331,0.2735331,0.2735331
0.065,0.28536,0.28536,0.28536,0.28536
0.067,0.2768359,0.2768359,0.2768359,0.2768359
0.07,0.2592044,0.2592044,0.2592044,0.2592044
0.075,0.2187627,0.2187627,0.2187627,0.2187627
0.08,0.2167521,0.2167521,0.2167521,0.2167521
0.085,0.2130361,0.2130361,0.2130361,0.2130361
0.09,0.2086659,0.2086659,0.2086659,0.2086659
0.095,0.2058722,0.2058722,0.2058722,0.2058722
0.1,0.2034993,0.2034993,0.2034993,0.2034993
0.11,0.2288762,0.2288762,0.2288762,0.2288762
0.12,0.2558641,0.2558641,0.2558641,0.2558641
0.13,0.2632383,0.2632383,0.2632383,0.2632383
0.133,0.2630886,0.2630886,0.2630886,0.2630886
0.14,0.264524,0.264524,0.264524,0.264524
0.15,0.2655368,0.2655368,0.2655368,0.2655368
0.16,0.2731079,0.2731079,0.2731079,0.2731079
0.17,0.2926455,0.2926455,0.2926455,0.2926455
0.18,0.2998099,0.2998099,0.2998099,0.2998099
0.19,0.299133,0.299133,0.299133,0.299133
0.2,0.312586,0.312586,0.312586,0.312586
0.22,0.3253675,0.3253675,0.3253675,0.3253675
0.24,0.3438729,0.3438729,0.3438729,0.3438729
0.25,0.3542432,0.3542432,0.3542432,0.3542432
0.26,0.3621772,0.3621772,0.3621772,0.3621772
0.28,0.3667504,0.3667504,0.3667504,0.3667504
0.29,0.3646385,0.3646385,0.3646385,0.3646385
0.3,0.3605146,0.3605146,0.3605146,0.3605146
0.32,0.3469298,0.3469298,0.3469298,0.3469298
0.34,0.3275573,0.3275573,0.3275573,0.3275573
0.35,0.3162992,0.3162992,0.3162992,0.3162992
0.36,0.3043631,0.3043631,0.3043631,0.3043631
0.38,0.2793606,0.2793606,0.2793606,0.2793606
0.4,0.2539562,0.2539562,0.2539562,0.2539562
0.42,0.2291853,0.2291853,0.2291853,0.2291853
0.44,0.2054941,0.2054941,0.2054941,0.2054941
0.45,0.1942309,0.1942309,0.1942309,0.1942309
0.46,0.1833922,0.1833922,0.1833922,0.1833922
0.48,0.1653118,0.1653118,0.1653118,0.1653118
0.5,0.1558246,0.1558246,0.1558246,0.1558246
0.55,0.1334407,0.1334407,0.1334407,0.1334407
0.6,0.1134271,0.1134271,0.1134271,0.1134271
0.65,0.09595318,0.09595318,0.09595318,0.09595318
0.667,0.09056011,0.09056011,0.09056011,0.09056011
0.7,0.08084365,0.08084365,0.08084365,0.08084365
0.75,0.06784449,0.06784449,0.06784449,0.06784449
0.8,0.0567378,0.0567378,0.0567378,0.0567378
0.85,0.04732427,0.04732427,0.04732427,0.04732427
0.9,0.03940246,0.03940246,0.03940246,0.03940246
0.95,0.03279569,0.03279569,0.03279569,0.03279569
1.0,0.02732477,0.02732477,0.02732477,0.02732477
1.1,0.02196433,0.02196433,0.02196433,0.02196433
1.2,0.01885955,0.01885955,0.01885955,0.01885955
1.3,0.01624391,0.01624391,0.01624391,0.01624391
1.4,0.01405141,0.01405141,0.01405141,0.01405141
1.5,0.01221691,0.01221691,0.01221691,0.01221691
1.6,0.01067952,0.01067952,0.01067952,0.01067952
1.7,0.00938927,0.00938927,0.00938927,0.00938927
1.8,0.00830046,0.00830046,0.00830046,0.00830046
1.9,0.00737902,0.00737902,0.00737902,0.00737902
2.0,0.00659362,0.00659362,0.00659362,0.00659362
2.2,0.00534313,0.00534313,0.00534313,0.00534313
2.4,0.00440714,0.00440714,0.00440714,0.00440714
2.5,0.00402636,0.00402636,0.00402636,0.00402636
2.6,0.003692,0.003692,0.003692,0.003692
2.8,0.00313564,0.00313564,0.00313564,0.00313564
3.0,0.0026952,0.0026952,0.0026952,0.0026952
3.2,0.00234082,0.00234082,0.00234082,0.00234082
3.4,0.00205194,0.00205194,0.00205194,0.00205194
3.5,0.00192714,0.00192714,0.00192714,0.00192714
3.6,0.00181339,0.00181339,0.00181339,0.00181339
3.8,0.00161418,0.00161418,0.00161418,0.00161418
4.0,0.00144622,0.00144622,0.00144622,0.00144622
4.2,0.0013033,0.0013033,0.0013033,0.0013033
4.4,0.00118065,0.00118065,0.00118065,0.00118065
4.6,0.00107462,0.00107462,0.00107462,0.00107462
4.8,0.00098234,0.00098234,0.00098234,0.00098234
5.0,0.00090157,0.00090157,0.00090157,0.00090157
5.5,0.0007386,0.0007386,0.0007386,0.0007386
6.0,0.00061637,0.00061637,0.00061637,0.00061637
6.5,0.00052231,0.00052231,0.00052231,0.00052231
7.0,0.00044834,0.00044834,0.00044834,0.00044834
7.5,0.00038912,0.00038912,0.00038912,0.00038912
8.0,0.00034095,0.00034095,0.00034095,0.00034095
8.5,0.00030123,0.00030123,0.00030123,0.00030123
9.0,0.0002681,0.0002681,0.0002681,0.0002681
