
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 564
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 564, -, 1.0, -, 1.9, 6.1, 0.7, "Kalamata_ Greece-01", 1986, "Kalamata (bsmt)", 6.2, Normal, 6.45, 6.45, 382.21, 0.1625, 1.0, RSN564_GREECE_H-KAL-NS.AT2, RSN564_GREECE_H-KAL-WE.AT2 , RSN564_GREECE_H-KAL-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-564 RotD100 pSa (g)
0.01,0.3150698,0.3150698,0.3150698,0.3150698
0.02,0.3169549,0.3169549,0.3169549,0.3169549
0.022,0.318281,0.318281,0.318281,0.318281
0.025,0.3194594,0.3194594,0.3194594,0.3194594
0.029,0.3190064,0.3190064,0.3190064,0.3190064
0.03,0.3230115,0.3230115,0.3230115,0.3230115
0.032,0.3226549,0.3226549,0.3226549,0.3226549
0.035,0.3209865,0.3209865,0.3209865,0.3209865
0.036,0.3249346,0.3249346,0.3249346,0.3249346
0.04,0.3265556,0.3265556,0.3265556,0.3265556
0.042,0.3318575,0.3318575,0.3318575,0.3318575
0.044,0.3388506,0.3388506,0.3388506,0.3388506
0.045,0.3361424,0.3361424,0.3361424,0.3361424
0.046,0.3313873,0.3313873,0.3313873,0.3313873
0.048,0.3369226,0.3369226,0.3369226,0.3369226
0.05,0.3444679,0.3444679,0.3444679,0.3444679
0.055,0.3411774,0.3411774,0.3411774,0.3411774
0.06,0.371336,0.371336,0.371336,0.371336
0.065,0.3786063,0.3786063,0.3786063,0.3786063
0.067,0.3608386,0.3608386,0.3608386,0.3608386
0.07,0.3482648,0.3482648,0.3482648,0.3482648
0.075,0.3758672,0.3758672,0.3758672,0.3758672
0.08,0.3480076,0.3480076,0.3480076,0.3480076
0.085,0.355386,0.355386,0.355386,0.355386
0.09,0.3827974,0.3827974,0.3827974,0.3827974
0.095,0.4142204,0.4142204,0.4142204,0.4142204
0.1,0.4834182,0.4834182,0.4834182,0.4834182
0.11,0.550834,0.550834,0.550834,0.550834
0.12,0.5418396,0.5418396,0.5418396,0.5418396
0.13,0.4990212,0.4990212,0.4990212,0.4990212
0.133,0.505372,0.505372,0.505372,0.505372
0.14,0.5123192,0.5123192,0.5123192,0.5123192
0.15,0.5900566,0.5900566,0.5900566,0.5900566
0.16,0.6385774,0.6385774,0.6385774,0.6385774
0.17,0.7513433,0.7513433,0.7513433,0.7513433
0.18,0.7855781,0.7855781,0.7855781,0.7855781
0.19,0.6590748,0.6590748,0.6590748,0.6590748
0.2,0.6811385,0.6811385,0.6811385,0.6811385
0.22,0.7092862,0.7092862,0.7092862,0.7092862
0.24,0.9266118,0.9266118,0.9266118,0.9266118
0.25,1.014126,1.014126,1.014126,1.014126
0.26,1.064277,1.064277,1.064277,1.064277
0.28,1.088086,1.088086,1.088086,1.088086
0.29,1.099937,1.099937,1.099937,1.099937
0.3,1.301083,1.301083,1.301083,1.301083
0.32,1.360482,1.360482,1.360482,1.360482
0.34,1.14923,1.14923,1.14923,1.14923
0.35,1.13533,1.13533,1.13533,1.13533
0.36,1.112019,1.112019,1.112019,1.112019
0.38,1.046685,1.046685,1.046685,1.046685
0.4,0.9977112,0.9977112,0.9977112,0.9977112
0.42,1.082074,1.082074,1.082074,1.082074
0.44,0.9921893,0.9921893,0.9921893,0.9921893
0.45,0.8963153,0.8963153,0.8963153,0.8963153
0.46,0.7792879,0.7792879,0.7792879,0.7792879
0.48,0.7704879,0.7704879,0.7704879,0.7704879
0.5,0.7811491,0.7811491,0.7811491,0.7811491
0.55,0.7269672,0.7269672,0.7269672,0.7269672
0.6,0.6690795,0.6690795,0.6690795,0.6690795
0.65,0.6518088,0.6518088,0.6518088,0.6518088
0.667,0.6264006,0.6264006,0.6264006,0.6264006
0.7,0.5606855,0.5606855,0.5606855,0.5606855
0.75,0.4448717,0.4448717,0.4448717,0.4448717
0.8,0.3711715,0.3711715,0.3711715,0.3711715
0.85,0.3248989,0.3248989,0.3248989,0.3248989
0.9,0.302953,0.302953,0.302953,0.302953
0.95,0.2991148,0.2991148,0.2991148,0.2991148
1.0,0.3034702,0.3034702,0.3034702,0.3034702
1.1,0.310175,0.310175,0.310175,0.310175
1.2,0.3012288,0.3012288,0.3012288,0.3012288
1.3,0.2870236,0.2870236,0.2870236,0.2870236
1.4,0.2632249,0.2632249,0.2632249,0.2632249
1.5,0.2395481,0.2395481,0.2395481,0.2395481
1.6,0.2130828,0.2130828,0.2130828,0.2130828
1.7,0.1888153,0.1888153,0.1888153,0.1888153
1.8,0.170642,0.170642,0.170642,0.170642
1.9,0.1550601,0.1550601,0.1550601,0.1550601
2.0,0.1459012,0.1459012,0.1459012,0.1459012
2.2,0.1329738,0.1329738,0.1329738,0.1329738
2.4,0.1149113,0.1149113,0.1149113,0.1149113
2.5,0.1056946,0.1056946,0.1056946,0.1056946
2.6,0.1007218,0.1007218,0.1007218,0.1007218
2.8,0.08763126,0.08763126,0.08763126,0.08763126
3.0,0.07256286,0.07256286,0.07256286,0.07256286
3.2,0.05792915,0.05792915,0.05792915,0.05792915
3.4,0.04671884,0.04671884,0.04671884,0.04671884
3.5,0.04356827,0.04356827,0.04356827,0.04356827
3.6,0.0407165,0.0407165,0.0407165,0.0407165
3.8,0.03586112,0.03586112,0.03586112,0.03586112
4.0,0.03183178,0.03183178,0.03183178,0.03183178
4.2,0.02848916,0.02848916,0.02848916,0.02848916
4.4,0.02577342,0.02577342,0.02577342,0.02577342
4.6,0.02322726,0.02322726,0.02322726,0.02322726
4.8,0.02087153,0.02087153,0.02087153,0.02087153
5.0,0.01872333,0.01872333,0.01872333,0.01872333
5.5,0.01492212,0.01492212,0.01492212,0.01492212
6.0,0.01246288,0.01246288,0.01246288,0.01246288
6.5,0.01062802,0.01062802,0.01062802,0.01062802
7.0,0.00915702,0.00915702,0.00915702,0.00915702
7.5,0.00795265,0.00795265,0.00795265,0.00795265
8.0,0.00695959,0.00695959,0.00695959,0.00695959
8.5,0.00613387,0.00613387,0.00613387,0.00613387
9.0,0.0054419,0.0054419,0.0054419,0.0054419
9.5,0.00485753,0.00485753,0.00485753,0.00485753
10.0,0.00436043,0.00436043,0.00436043,0.00436043
11.0,0.0035673,0.0035673,0.0035673,0.0035673
12.0,0.0029704,0.0029704,0.0029704,0.0029704
13.0,0.00251087,0.00251087,0.00251087,0.00251087
14.0,0.00215001,0.00215001,0.00215001,0.00215001
15.0,0.00186166,0.00186166,0.00186166,0.00186166
20.0,0.00102622,0.00102622,0.00102622,0.00102622

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-564 Horizontal-1 pSa (g),RSN-564 Horizontal-2 pSa (g),RSN-564 Vertical pSa (g)
0.01,0.2397845,0.2725244,0.23
0.02,0.2443368,0.2742711,0.264
0.022,0.247341,0.2742262,0.339
0.025,0.2489163,0.2751241,0.358
0.029,0.2473542,0.2781791,0.402
0.03,0.2465353,0.2784465,0.409
0.032,0.2402987,0.2785795,0.434
0.035,0.2546504,0.2892397,0.49
0.036,0.2584648,0.2911851,0.531
0.04,0.277977,0.2837738,0.485
0.042,0.2921053,0.2809637,0.475
0.044,0.2961608,0.2811731,0.466
0.045,0.2940541,0.2833821,0.491
0.046,0.2917803,0.2823843,0.514
0.048,0.2863231,0.2779521,0.52
0.05,0.2909043,0.2848364,0.481
0.055,0.2805805,0.2936762,0.697
0.06,0.2964595,0.304264,0.745
0.065,0.3105164,0.321746,0.723
0.067,0.3208078,0.3230466,0.638
0.07,0.3027405,0.3316128,0.575
0.075,0.3092824,0.372532,0.536
0.08,0.2965403,0.3364459,0.458
0.085,0.3028747,0.3372354,0.485
0.09,0.339472,0.3662576,0.548
0.095,0.369963,0.3814091,0.548
0.1,0.4284243,0.4345729,0.461
0.11,0.517284,0.4364286,0.399
0.12,0.5132376,0.4384525,0.399
0.13,0.4840177,0.4857659,0.521
0.133,0.4813018,0.4977519,0.509
0.14,0.4657249,0.5057355,0.55
0.15,0.5060166,0.4953115,0.572
0.16,0.5514071,0.480385,0.61
0.17,0.6497856,0.4790153,0.601
0.18,0.6622565,0.4999846,0.696
0.19,0.5614981,0.491015,0.731
0.2,0.5832037,0.5418511,0.788
0.22,0.5204567,0.6188179,0.646
0.24,0.6368622,0.7857314,0.413
0.25,0.6713839,0.8457172,0.33
0.26,0.6798108,0.8767721,0.338
0.28,0.6714012,0.9420871,0.461
